epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.47,0.97162,1.98092,1.15738,1,0.02574,0.33825,0.20158,0.96155,3.37883,1.29097,0.000326667,0.000326667,0.06766
2,434.055,0.92003,1.08374,1.11264,0.89645,0.86047,0.93076,0.71602,0.71022,0.89166,1.01249,0.00052932,0.00052932,0.0345293
3,624.109,0.8488,0.96301,1.08579,0.90598,0.89635,0.93198,0.71473,0.65143,0.78522,0.93806,0.000599973,0.000599973,0.00126664
4,777.766,0.81379,0.84667,1.05956,0.92527,0.88837,0.9499,0.74519,0.62208,0.78561,0.92915,0.000406,0.000406,0.000406
5,936.965,0.77892,0.83128,1.05925,0.96495,0.89624,0.95165,0.76836,0.58457,0.67459,0.91213,0.000208,0.000208,0.000208
